specimen,class,cap.color,cap.shape,cap.surface,gill.size,gill.color,gill.attachment,population
197,e,y,b,s,b,n,f,s
198,e,w,x,s,b,g,f,n
199,e,w,x,y,b,n,f,s
200,e,w,f,s,n,n,f,v
201,e,y,x,y,b,w,f,s
202,e,w,b,s,b,w,f,s
203,e,w,x,s,b,g,f,n
204,e,w,x,f,b,h,f,s
205,e,n,f,y,b,n,f,y
206,p,w,x,s,n,k,f,v
207,e,w,b,s,b,n,f,n
208,e,w,b,s,b,k,f,s
209,e,w,b,y,b,n,f,n
210,e,w,b,y,b,w,f,n
211,e,y,x,s,b,w,f,s
212,e,w,b,s,b,w,f,n
213,e,y,x,f,n,n,f,v
214,e,g,x,f,n,n,f,y
215,e,y,f,y,b,n,f,s
216,e,w,b,s,b,n,f,n
217,e,y,x,s,b,g,f,s
218,e,y,x,y,b,k,f,s
220,e,g,s,f,n,p,f,v
221,e,w,x,s,b,n,f,n
222,p,w,x,s,n,k,f,s
223,e,y,x,y,b,n,f,s
224,e,w,f,f,n,p,f,v
225,e,w,x,y,b,g,f,n
226,e,w,b,y,b,n,f,s
228,e,y,x,s,b,g,f,s
230,e,y,b,s,b,n,f,n
231,e,g,x,f,n,n,f,y
233,e,y,x,y,b,n,f,y
235,e,w,b,s,b,k,f,n
236,e,w,x,f,n,w,f,v
238,e,y,b,y,b,n,f,s
239,e,y,x,y,b,n,f,s
240,e,y,f,y,b,p,f,s
241,e,y,f,y,b,w,f,y
242,e,w,x,s,b,w,f,s
243,e,w,x,s,b,w,f,n
245,e,w,f,f,n,p,f,v
246,e,w,x,s,b,w,f,s
247,e,w,x,s,n,p,f,v
248,e,w,x,y,b,n,f,s
249,e,y,f,y,b,w,f,y
250,e,n,x,s,b,p,f,s
251,e,y,f,y,b,w,f,y
252,p,n,x,s,n,p,f,s
253,e,n,s,f,n,g,f,v
254,e,y,b,y,b,w,f,s
255,e,w,b,s,b,n,f,s
256,e,w,b,y,b,k,f,n
257,e,n,f,f,n,k,f,v
258,e,w,x,s,b,w,f,n
261,e,n,f,y,b,w,f,s
262,p,w,x,y,n,k,f,v
264,e,w,x,y,b,n,f,s
265,e,w,f,f,n,w,f,v
266,e,g,f,f,n,g,f,v
267,e,g,f,s,b,p,f,a
268,e,y,x,y,b,g,f,s
269,e,w,b,s,b,k,f,s
270,p,n,f,y,n,w,f,s
271,e,w,x,s,b,n,f,n
273,e,w,x,y,b,k,f,s
274,e,y,x,y,b,k,f,n
275,e,y,f,y,b,n,f,s
276,e,n,x,y,b,w,f,s
277,e,n,f,y,b,w,f,y
278,e,w,x,y,b,w,f,n
279,e,n,f,f,b,h,f,s
282,e,y,b,y,b,n,f,n
283,e,n,s,f,n,p,f,v
284,e,y,x,s,b,k,f,s
285,e,w,b,y,b,n,f,n
286,e,n,f,y,b,n,f,s
287,e,y,b,y,b,g,f,s
288,e,w,b,y,b,g,f,s
289,e,n,x,y,b,n,f,y
290,e,g,f,f,n,p,f,y
291,e,g,x,f,n,g,f,y
292,e,y,b,y,b,n,f,s
293,e,y,x,s,b,n,f,s
294,e,w,b,y,b,k,f,s
296,e,y,b,s,b,g,f,n
297,e,y,x,s,b,k,f,s
299,e,y,f,s,n,p,f,v
300,p,w,x,y,n,p,f,s
301,e,w,x,f,b,k,f,a
302,e,w,b,y,b,w,f,s
303,e,y,x,s,n,w,f,v
305,e,w,x,y,b,g,f,s
306,e,n,x,f,b,p,f,y
307,e,w,b,y,b,k,f,s
308,e,y,x,s,b,g,f,n
309,e,n,f,y,b,p,f,y
310,e,w,x,f,b,n,f,s
311,e,y,x,s,b,w,f,s
312,p,w,x,y,n,n,f,v
313,e,y,x,y,b,n,f,s
314,e,w,x,f,n,p,f,v
317,e,y,x,s,n,w,f,v
318,e,w,x,y,b,k,f,n
319,e,w,x,f,n,n,f,v
320,e,w,f,s,n,w,f,v
322,e,y,f,f,n,w,f,v
323,e,w,x,s,b,w,f,s
324,e,y,b,y,b,n,f,s
325,e,n,x,y,b,p,f,s
326,e,w,b,y,b,k,f,n
327,e,y,x,s,b,n,f,s
328,p,n,x,y,n,n,f,v
330,e,w,b,y,b,g,f,n
331,p,n,x,y,n,w,f,v
332,e,w,b,s,b,n,f,s
334,e,y,b,y,b,n,f,s
335,e,w,x,y,b,g,f,n
336,e,n,x,f,b,p,f,y
337,e,n,x,y,b,w,f,y
339,e,g,x,f,n,g,f,v
340,e,n,x,y,b,n,f,y
341,e,w,x,s,b,k,f,s
342,e,w,b,y,b,n,f,n
343,e,y,x,s,b,g,f,s
344,e,y,f,f,n,p,f,v
345,e,y,b,y,b,g,f,s
346,e,n,x,f,b,n,f,a
347,e,y,x,f,n,n,f,v
348,e,y,x,s,b,n,f,n
349,e,g,f,s,b,n,f,s
351,e,g,f,s,b,h,f,a
353,e,w,b,y,b,k,f,s
354,e,y,b,s,b,k,f,s
356,e,g,s,f,n,g,f,v
358,p,n,x,y,n,k,f,s
359,e,y,x,y,b,p,f,y
360,e,y,x,y,b,w,f,s
361,e,n,x,f,b,h,f,s
363,e,n,f,s,b,k,f,a
365,e,y,x,s,b,w,f,n
366,e,n,f,f,n,p,f,v
367,e,y,x,y,b,w,f,s
368,e,y,x,f,n,p,f,v
369,e,y,b,y,b,g,f,n
370,e,g,x,f,b,n,f,s
371,e,y,x,y,b,w,f,s
372,e,n,f,y,b,n,f,y
373,e,y,x,s,b,w,f,s
374,e,n,s,f,n,n,f,y
376,e,w,b,s,b,n,f,n
377,e,n,s,f,n,k,f,y
378,e,y,b,y,b,n,f,n
379,e,y,x,y,b,k,f,n
380,e,y,b,y,b,k,f,s
381,p,n,x,y,n,p,f,s
382,e,w,x,s,b,k,f,s
383,e,w,x,y,b,w,f,s
385,e,n,x,f,b,n,f,y
386,p,n,x,s,n,w,f,s
387,e,n,x,y,b,w,f,y
388,e,n,x,s,b,n,f,a
390,e,y,x,s,b,w,f,n
391,e,y,b,s,b,n,f,s
392,e,y,x,s,b,g,f,n
393,e,w,b,y,b,n,f,n
394,e,g,x,f,n,k,f,v
395,e,n,f,y,b,w,f,s
397,e,w,x,s,b,k,f,n
398,e,y,x,y,b,w,f,s
400,p,n,x,s,n,p,f,s
401,e,w,b,y,b,w,f,n
402,e,w,b,y,b,n,f,n
403,p,n,x,y,n,p,f,v
404,e,y,b,s,b,w,f,s
405,e,w,x,s,b,k,f,s
406,e,y,x,y,b,n,f,s
407,e,y,b,y,b,n,f,n
408,e,w,x,s,b,g,f,s
410,e,n,x,y,b,w,f,y
411,e,w,x,s,b,w,f,s
412,e,n,x,s,b,n,f,s
413,e,n,x,y,b,n,f,s
414,e,y,x,y,b,n,f,y
415,p,n,x,y,n,k,f,v
416,e,y,b,y,b,w,f,n
417,e,w,x,f,n,p,f,v
418,p,n,x,s,n,w,f,s
419,e,y,x,y,b,k,f,n
420,e,g,f,f,b,h,f,a
422,e,w,b,y,b,w,f,s
424,e,n,f,y,b,w,f,s
425,e,w,x,s,b,n,f,n
426,e,w,x,s,n,n,f,v
427,e,n,f,y,b,n,f,y
428,e,w,b,s,b,k,f,n
430,e,g,f,f,n,n,f,v
431,e,w,x,y,b,g,f,s
432,e,y,x,y,b,n,f,y
433,e,y,b,s,b,g,f,s
434,e,y,b,s,b,w,f,s
435,e,w,f,s,n,n,f,v
436,e,w,b,s,b,w,f,n
437,e,y,x,f,n,n,f,v
438,e,w,x,y,b,g,f,n
440,e,n,x,y,b,p,f,y
441,e,w,x,y,b,n,f,s
444,e,w,x,y,b,n,f,n
446,e,n,x,y,b,p,f,s
447,e,w,x,s,b,n,f,n
448,e,n,f,y,b,n,f,s
449,e,w,b,s,b,w,f,s
450,e,n,x,f,b,n,f,y
452,e,w,b,s,b,g,f,n
453,e,y,b,s,b,g,f,n
456,e,g,x,s,b,h,f,a
457,e,w,b,s,b,k,f,n
458,e,y,b,s,b,w,f,s
459,e,y,f,y,b,n,f,y
460,e,n,f,y,b,w,f,y
464,e,y,x,y,b,w,f,n
465,e,n,x,f,n,k,f,v
468,e,y,x,s,b,g,f,n
469,e,y,b,y,b,g,f,n
470,e,y,f,y,b,w,f,s
471,e,y,x,y,b,g,f,n
472,e,w,x,y,b,w,f,n
473,e,w,f,f,n,n,f,v
474,e,g,s,f,n,k,f,y
475,e,y,f,s,n,n,f,v
476,e,g,f,f,n,k,f,y
477,e,n,x,f,n,p,f,y
478,e,w,b,y,b,w,f,n
480,e,y,b,y,b,n,f,s
482,e,y,b,y,b,g,f,s
483,e,w,f,s,n,p,f,v
484,e,g,f,f,n,g,f,y
485,e,w,f,s,n,w,f,v
486,e,y,f,y,b,p,f,y
488,e,n,s,f,n,p,f,y
489,e,n,x,y,b,n,f,s
490,e,n,x,y,b,n,f,s
491,e,y,f,f,n,n,f,v
492,p,n,f,s,n,p,f,s
493,p,n,x,s,n,k,f,v
494,e,n,f,y,b,w,f,s
495,e,y,x,y,b,w,f,s
496,e,y,b,s,b,k,f,n
497,e,w,f,f,b,h,f,a
498,e,n,f,y,b,p,f,s
499,e,w,x,y,b,n,f,s
500,e,y,b,s,b,w,f,n
501,e,y,x,s,b,w,f,n
503,e,w,x,s,b,g,f,n
504,e,y,b,s,b,w,f,s
505,e,y,b,y,b,w,f,s
506,p,n,x,s,n,n,f,v
507,e,g,x,s,b,p,f,s
509,e,w,x,f,n,n,f,v
510,e,g,f,f,n,p,f,v
512,e,y,b,y,b,k,f,s
514,e,g,s,f,n,n,f,v
515,e,n,x,f,n,k,f,v
516,e,w,x,f,b,h,f,a
517,e,n,x,y,b,n,f,y
518,e,y,b,s,b,k,f,n
519,e,w,x,y,b,k,f,s
520,e,y,x,y,b,k,f,n
522,e,w,b,s,b,n,f,s
523,e,y,f,y,b,p,f,y
524,p,n,x,s,n,n,f,s
525,e,g,f,f,n,n,f,y
527,e,n,f,y,b,w,f,s
528,e,y,x,s,b,k,f,s
529,e,n,x,f,n,k,f,y
530,e,y,f,y,b,w,f,y
532,e,w,x,s,b,n,f,s
535,p,n,f,s,n,k,f,s
537,e,w,b,y,b,k,f,s
539,e,y,x,y,b,g,f,s
540,e,w,f,s,n,p,f,v
543,p,w,x,y,n,n,f,s
544,e,y,x,y,b,p,f,s
545,e,n,f,f,b,n,f,a
546,e,w,x,s,b,w,f,s
547,e,y,b,y,b,g,f,s
548,e,g,f,f,n,g,f,v
549,e,y,x,f,n,p,f,v
551,e,n,f,f,n,n,f,y
552,e,g,x,f,b,h,f,s
554,e,w,f,s,n,p,f,v
555,e,y,x,s,b,k,f,s
556,e,y,f,y,b,p,f,y
557,p,n,x,y,n,k,f,v
558,e,w,x,f,n,w,f,v
559,e,w,x,s,b,w,f,n
560,e,y,x,y,b,g,f,n
561,e,y,b,s,b,g,f,s
562,e,y,x,s,n,w,f,v
563,e,y,x,s,n,n,f,v
564,e,w,x,f,b,n,f,s
565,e,w,b,s,b,w,f,s
566,p,w,x,y,n,w,f,v
569,p,n,x,s,n,n,f,s
570,e,w,b,y,b,w,f,n
571,e,w,x,s,b,k,f,n
572,e,y,f,f,n,n,f,v
573,e,y,x,s,b,k,f,n
574,e,w,b,y,b,w,f,n
575,e,n,x,y,b,w,f,y
576,e,y,x,s,b,w,f,s
578,e,y,x,s,b,n,f,s
579,e,y,x,y,b,w,f,y
580,p,n,x,s,n,w,f,s
581,e,w,x,s,b,g,f,n
582,e,y,x,s,b,w,f,s
583,e,w,x,y,b,k,f,n
584,e,y,x,y,b,n,f,y
585,e,y,f,y,b,w,f,s
588,e,n,f,f,n,n,f,y
589,e,g,s,f,n,n,f,v
590,e,w,x,y,b,n,f,n
591,p,w,x,s,n,k,f,s
593,e,y,x,y,b,g,f,s
594,p,w,x,y,n,k,f,s
595,e,y,x,s,b,g,f,n
597,e,y,b,s,b,n,f,n
598,e,w,b,y,b,g,f,s
600,p,n,x,s,n,n,f,s
601,e,g,x,s,b,n,f,a
605,e,w,b,y,b,w,f,s
606,e,w,b,s,b,n,f,n
607,e,g,x,s,b,n,f,s
609,e,w,x,s,b,w,f,s
610,e,g,f,f,n,n,f,v
611,e,n,f,s,b,h,f,a
613,e,w,f,s,b,p,f,a
615,e,y,x,y,b,p,f,s
616,e,w,b,s,b,g,f,s
617,e,g,f,f,b,p,f,a
618,e,w,b,y,b,g,f,s
619,e,y,b,s,b,n,f,n
620,e,g,s,f,n,n,f,y
621,e,y,f,y,b,p,f,s
622,e,w,b,s,b,w,f,n
624,e,y,f,y,b,n,f,s
625,e,g,f,f,n,p,f,y
628,e,g,s,f,n,p,f,y
630,e,w,b,s,b,k,f,n
631,e,n,f,f,b,n,f,s
633,e,n,x,f,b,n,f,v
634,e,n,x,y,b,n,f,s
635,e,n,x,y,b,p,f,s
636,e,y,b,y,b,w,f,s
637,e,y,f,y,b,p,f,s
638,e,y,x,y,b,n,f,n
639,e,n,x,s,b,h,f,s
641,e,y,b,y,b,w,f,n
642,e,n,x,y,b,n,f,y
643,e,n,f,y,b,w,f,s
644,e,n,f,y,b,w,f,y
645,e,y,f,y,b,n,f,s
647,e,w,b,y,b,g,f,s
648,e,w,b,s,b,k,f,n
649,e,y,x,y,b,n,f,s
650,e,w,f,f,n,p,f,v
651,e,y,x,s,b,n,f,s
652,e,y,b,s,b,n,f,n
653,e,y,f,y,b,w,f,y
654,p,n,x,y,n,w,f,s
656,e,y,x,s,b,g,f,s
657,e,w,f,f,b,k,f,s
660,e,g,f,f,n,k,f,y
661,e,w,b,s,b,n,f,s
662,e,w,x,s,b,k,f,s
664,p,n,x,s,n,k,f,s
665,e,w,b,s,b,g,f,s
668,e,y,x,y,b,p,f,y
669,e,y,f,y,b,n,f,y
670,e,w,x,y,b,w,f,n
671,e,y,x,s,b,k,f,s
672,e,n,f,f,n,p,f,v
673,e,n,f,f,b,p,f,a
674,e,y,x,f,n,w,f,v
675,e,y,f,y,b,w,f,s
676,e,n,f,f,n,g,f,y
677,e,g,f,f,n,k,f,v
678,e,n,x,y,b,n,f,y
679,e,y,x,y,b,w,f,y
680,e,w,b,s,b,g,f,s
681,e,w,x,s,n,n,f,v
682,e,w,x,y,b,n,f,n
683,e,y,x,f,n,w,f,v
684,e,y,b,s,b,w,f,n
685,e,n,x,f,b,p,f,v
686,e,w,x,y,b,g,f,n
687,e,g,f,f,n,k,f,v
688,e,w,b,y,b,n,f,s
689,e,y,x,y,b,w,f,n
690,e,w,x,s,b,k,f,s
691,e,y,b,s,b,w,f,s
692,e,w,b,y,b,k,f,s
693,e,n,x,y,b,p,f,s
696,e,w,b,y,b,n,f,s
698,p,n,x,y,n,w,f,v
699,p,n,x,s,n,p,f,v
700,e,n,f,s,b,n,f,a
701,p,n,x,s,n,w,f,s
702,e,g,f,f,b,h,f,a
704,e,w,b,y,b,k,f,n
706,e,y,f,y,b,p,f,y
707,e,y,b,y,b,k,f,n
708,e,n,s,f,n,p,f,y
709,e,w,x,s,b,k,f,n
710,e,y,b,y,b,g,f,n
711,e,y,f,y,b,w,f,s
712,e,n,f,s,b,p,f,a
713,e,w,x,s,b,w,f,s
714,e,y,b,y,b,w,f,n
715,e,y,b,y,b,k,f,s
717,e,w,b,s,b,k,f,s
718,e,y,x,y,b,n,f,s
719,e,n,x,y,b,n,f,s
720,e,n,s,f,n,g,f,v
721,e,n,f,y,b,n,f,s
722,e,w,x,s,b,k,f,n
723,e,y,f,s,n,w,f,v
724,e,n,x,s,b,p,f,a
726,p,n,x,y,n,k,f,v
729,e,w,b,s,b,n,f,s
730,e,w,x,y,b,w,f,s
732,e,n,x,f,b,n,f,s
734,p,w,x,y,n,p,f,s
735,e,w,x,y,b,g,f,n
736,e,w,b,y,b,w,f,s
737,e,w,x,f,n,w,f,v
738,p,w,x,y,n,w,f,s
740,e,g,x,f,n,p,f,v
741,e,n,x,f,n,p,f,v
742,e,w,b,s,b,n,f,s
743,e,n,x,y,b,p,f,s
744,e,w,b,y,b,k,f,n
745,e,y,f,y,b,n,f,s
746,e,w,x,y,b,n,f,n
748,e,w,b,y,b,w,f,s
750,e,y,f,s,n,n,f,v
751,e,n,x,y,b,n,f,s
752,e,y,b,s,b,k,f,n
753,e,w,f,s,n,n,f,v
754,e,y,b,y,b,w,f,s
755,e,y,b,y,b,k,f,n
756,e,y,b,s,b,n,f,n
757,e,y,f,y,b,n,f,y
758,e,w,x,s,b,n,f,a
759,e,y,b,y,b,w,f,n
760,e,n,x,y,b,n,f,y
761,e,w,b,s,b,g,f,n
762,e,n,f,y,b,p,f,y
763,e,w,x,s,b,g,f,n
765,e,n,x,y,b,w,f,s
767,e,w,x,s,n,p,f,v
768,e,n,f,f,n,g,f,y
769,e,y,b,y,b,g,f,s
770,e,w,b,s,b,k,f,n
772,e,y,b,s,b,k,f,s
773,e,y,x,y,b,k,f,n
774,e,y,x,s,n,p,f,v
775,e,g,f,f,b,h,f,a
776,e,y,x,y,b,p,f,s
778,e,n,x,y,b,p,f,y
779,e,y,x,s,b,n,f,n
780,e,w,b,y,b,w,f,n
781,e,y,x,y,b,w,f,s
782,e,n,s,f,n,g,f,y
783,e,y,b,y,b,w,f,s
784,e,w,x,s,b,n,f,s
785,e,w,x,s,b,w,f,n
786,p,n,x,s,n,w,f,v
787,e,n,x,f,n,n,f,v
788,e,y,x,y,b,w,f,n
789,p,n,x,y,n,k,f,s
791,e,y,b,y,b,k,f,s
794,e,y,x,s,b,n,f,n
795,p,n,x,y,n,p,f,v
797,e,y,b,y,b,n,f,n
798,e,w,x,s,b,h,f,s
799,p,w,x,s,n,k,f,v
800,e,n,x,y,b,w,f,s
801,e,w,b,s,b,n,f,n
802,e,y,x,y,b,w,f,n
803,p,n,x,s,n,n,f,v
804,e,y,b,y,b,w,f,n
806,e,y,f,y,b,w,f,s
807,e,w,b,y,b,k,f,s
808,e,y,x,y,b,p,f,y
809,e,y,b,s,b,n,f,s
811,e,y,b,s,b,g,f,n
812,e,y,b,s,b,n,f,n
813,p,w,x,y,n,p,f,v
814,p,w,x,y,n,w,f,v
815,p,n,x,s,n,k,f,v
816,e,w,x,s,b,n,f,s
817,e,n,x,y,b,p,f,y
818,e,y,x,y,b,n,f,y
819,e,w,x,s,n,w,f,v
821,e,y,b,s,b,w,f,n
822,e,g,x,f,n,k,f,v
823,e,y,b,s,b,n,f,s
824,e,w,x,s,b,g,f,s
825,e,n,x,y,b,w,f,s
826,e,y,x,y,b,w,f,s
827,e,w,f,f,n,n,f,v
828,e,w,f,f,n,w,f,v
829,e,w,x,s,b,g,f,s
830,e,y,f,s,n,p,f,v
831,e,g,s,f,n,p,f,v
832,e,y,f,f,n,w,f,v
834,e,y,x,y,b,w,f,s
835,e,y,x,y,b,p,f,y
836,p,n,x,s,n,k,f,v
837,e,y,x,s,b,n,f,s
838,p,w,x,y,n,p,f,s
840,e,w,x,y,b,w,f,s
842,p,n,x,y,n,w,f,v
843,e,w,b,s,b,n,f,s
844,e,g,s,f,n,n,f,y
845,e,y,x,s,b,g,f,n
846,e,g,x,f,b,k,f,s
847,e,y,x,y,b,n,f,s
848,e,w,b,y,b,g,f,s
849,e,y,b,s,b,k,f,n
850,e,w,x,s,n,w,f,v
851,e,w,b,s,b,k,f,s
852,e,n,f,y,b,p,f,s
853,e,g,s,f,n,g,f,y
854,e,w,x,f,b,p,f,a
855,e,n,s,f,n,n,f,v
856,e,n,f,y,b,p,f,s
857,e,y,f,s,n,n,f,v
858,e,y,b,s,b,n,f,s
859,e,y,b,s,b,k,f,n
860,p,n,x,s,n,p,f,v
861,e,n,f,y,b,w,f,y
862,e,y,x,s,b,w,f,s
863,e,y,f,y,b,p,f,s
864,e,w,x,y,b,g,f,n
865,e,y,x,y,b,w,f,s
866,e,y,x,y,b,k,f,s
869,e,g,x,f,n,p,f,y
870,e,y,x,s,b,k,f,n
872,e,y,x,s,b,w,f,n
874,e,n,x,f,b,n,f,v
875,e,w,x,s,b,n,f,s
876,e,y,x,y,b,p,f,s
877,e,w,x,y,b,k,f,n
878,e,w,x,s,b,k,f,n
879,e,y,f,y,b,w,f,y
880,e,y,b,s,b,n,f,n
882,e,g,f,s,b,n,f,s
883,e,w,x,y,b,w,f,n
884,e,w,x,y,b,n,f,n
885,e,y,f,y,b,n,f,s
886,e,w,x,s,n,p,f,v
887,e,y,x,s,b,n,f,s
890,e,y,x,s,b,g,f,n
891,e,n,x,f,b,u,f,y
892,e,y,f,y,b,p,f,y
893,e,w,x,s,b,n,f,n
894,e,y,b,s,b,g,f,s
895,e,y,x,s,b,k,f,s
896,e,n,x,y,b,p,f,s
897,e,y,b,y,b,k,f,n
898,e,w,x,s,b,k,f,n
899,e,w,x,y,b,k,f,s
900,e,y,x,s,b,n,f,s
902,e,w,x,f,b,n,f,a
904,e,w,x,s,b,h,f,s
905,e,y,x,s,b,w,f,n
906,e,w,f,f,b,p,f,s
907,p,n,f,s,n,n,f,s
908,e,g,x,f,b,p,f,s
911,e,w,b,s,b,k,f,n
912,e,g,x,f,b,p,f,a
913,e,w,x,s,b,g,f,n
914,e,g,f,f,b,n,f,a
915,e,g,x,s,b,k,f,s
916,e,w,x,s,b,k,f,n
917,e,w,x,s,b,n,f,s
918,e,g,x,y,b,n,f,y
922,e,n,x,s,b,p,f,a
924,e,y,x,s,n,w,f,v
925,e,w,f,f,b,k,f,s
926,e,n,x,s,b,h,f,a
927,e,g,x,s,b,k,f,a
928,p,n,x,y,n,w,f,s
929,e,g,x,f,n,k,f,y
931,e,g,x,s,b,h,f,a
932,e,g,f,f,b,n,f,s
933,p,n,f,s,n,n,f,v
934,e,y,x,s,b,k,f,s
935,e,n,x,f,n,n,f,y
936,e,w,f,s,b,p,f,s
938,e,n,x,f,b,p,f,s
939,e,g,f,s,b,n,f,a
941,e,y,b,y,b,n,f,n
942,e,w,x,f,b,n,f,s
943,p,w,x,s,n,w,f,s
944,e,g,x,f,b,p,f,s
946,e,n,f,f,b,h,f,a
948,e,w,b,y,b,w,f,s
949,e,n,f,f,b,n,f,a
950,p,n,f,y,n,w,f,v
951,p,w,x,y,n,w,f,s
952,e,y,b,s,b,n,f,s
953,e,g,f,s,b,h,f,a
956,e,w,b,s,b,k,f,s
957,p,w,x,s,n,w,f,v
959,e,w,f,f,n,n,f,v
962,e,w,f,f,b,h,f,a
963,e,n,x,f,b,n,f,v
964,e,n,x,f,b,n,f,y
965,e,g,f,s,b,k,f,s
966,e,g,f,s,b,n,f,s
967,p,n,f,s,n,w,f,s
