specimen,class,cap.color,cap.shape,cap.surface,gill.size,gill.color,gill.attachment,population
739,e,w,x,s,b,g,f,s
747,e,w,b,y,b,w,f,s
749,p,n,x,s,n,w,f,v
764,e,n,x,f,n,g,f,v
766,e,g,f,f,b,k,f,a
771,e,w,x,s,b,w,f,n
777,p,n,x,y,n,k,f,s
790,e,y,x,y,b,p,f,y
792,e,n,f,y,b,p,f,y
793,e,w,x,y,b,k,f,n
796,p,n,x,y,n,n,f,s
805,e,w,b,y,b,k,f,n
810,e,y,x,s,n,p,f,v
820,e,w,b,y,b,k,f,n
833,e,n,x,y,b,p,f,y
839,e,y,x,y,b,w,f,s
841,e,y,f,s,n,w,f,v
867,e,n,f,f,n,n,f,v
868,e,y,f,y,b,p,f,y
871,e,n,f,y,b,p,f,y
873,e,y,x,y,b,k,f,s
881,e,w,f,f,n,w,f,v
888,e,y,f,y,b,n,f,y
889,e,y,x,y,b,w,f,y
901,e,y,f,y,b,n,f,y
903,e,n,x,s,b,p,f,s
909,p,n,f,y,n,p,f,v
910,p,n,x,s,n,w,f,v
919,e,n,f,f,b,k,f,a
920,e,w,x,s,b,h,f,s
921,e,n,f,f,b,p,f,a
923,e,y,x,y,b,n,f,n
930,e,w,b,s,b,n,f,n
937,e,y,x,y,b,w,f,n
940,e,e,x,y,b,u,f,y
945,e,g,f,f,b,n,f,v
947,e,w,f,f,b,n,f,s
954,e,g,x,f,b,n,f,a
955,e,n,f,f,b,h,f,s
958,e,n,x,y,b,n,f,v
960,e,y,x,y,b,k,f,n
961,e,n,x,f,b,n,f,a
976,e,g,x,s,b,p,f,s
981,e,n,f,f,b,u,f,y
988,e,w,x,s,b,n,f,a
989,e,g,x,s,b,k,f,a
1001,e,g,x,f,b,n,f,y
1008,e,w,f,f,b,p,f,s
1013,e,y,f,y,b,p,f,s
1014,e,n,f,s,b,n,f,s
1015,e,g,f,f,b,h,f,s
1016,e,y,f,f,n,p,f,v
1017,e,n,f,y,b,n,f,s
1023,e,w,b,y,b,k,f,n
1025,p,w,f,y,n,n,f,v
1029,e,y,x,y,b,k,f,n
1034,e,n,f,f,b,p,f,s
1036,e,w,f,f,b,p,f,a
1039,e,g,x,f,n,k,f,y
1041,e,y,x,y,b,w,f,y
1042,e,n,f,y,b,n,f,s
1044,e,n,x,y,b,u,f,v
1067,e,w,x,y,b,k,f,s
1083,e,y,b,s,b,k,f,n
1086,e,g,f,f,b,p,f,s
1090,e,y,x,y,b,w,f,s
1094,e,y,f,f,n,n,f,v
1097,e,g,x,f,b,p,f,a
1098,e,g,x,s,b,h,f,a
1110,e,n,x,s,b,h,f,a
1111,e,n,f,f,b,k,f,a
1117,e,g,f,f,b,n,f,s
1118,e,g,f,s,b,h,f,s
1120,e,g,x,s,b,h,f,s
1123,e,n,x,s,b,p,f,s
1127,e,w,f,s,b,p,f,a
1129,e,w,x,f,b,h,f,a
1133,p,n,x,s,n,p,f,s
1135,e,w,x,y,b,g,f,n
1143,e,w,f,f,b,h,f,s
1144,e,w,x,s,b,k,f,a
1145,e,n,x,s,b,n,f,a
1169,e,n,f,s,b,n,f,s
1175,e,g,x,f,n,g,f,v
1180,e,n,f,y,b,w,f,s
1195,e,w,b,s,b,g,f,n
1196,p,n,x,s,n,k,f,s
1200,e,y,b,y,b,k,f,s
1208,p,w,f,y,n,p,f,s
1210,e,w,x,f,b,p,f,s
1217,e,w,x,s,b,p,f,a
1235,e,n,f,s,b,h,f,a
1240,e,n,x,s,b,h,f,s
1243,p,w,x,s,n,p,f,s
1248,e,g,x,s,b,k,f,a
1255,p,n,f,y,n,k,f,s
1262,p,n,f,y,n,w,f,v
1272,e,w,x,s,b,n,f,s
1283,e,w,x,f,b,n,f,s
1285,e,n,x,f,b,n,f,a
1286,e,g,f,f,b,h,f,a
1295,p,w,f,s,n,p,f,v
1297,e,n,x,f,b,u,f,v
1304,e,n,x,f,b,n,f,y
1306,e,g,f,s,b,h,f,s
1307,e,n,f,f,b,p,f,s
1310,e,g,f,s,b,p,f,s
1312,e,n,f,s,b,p,f,a
1313,p,w,f,s,n,k,f,s
1316,e,n,f,f,b,k,f,s
1318,e,n,x,f,b,n,f,y
1339,e,y,x,y,b,n,f,n
1348,e,w,x,s,b,p,f,s
1352,e,n,f,s,b,k,f,s
1365,e,n,x,f,b,k,f,a
1373,e,w,x,f,b,h,f,s
1392,e,w,x,s,b,h,f,s
1393,e,w,f,s,b,h,f,a
1394,e,w,x,s,b,p,f,s
1395,e,g,f,f,b,k,f,s
1398,e,n,x,s,b,h,f,s
1402,e,y,f,y,b,p,f,y
1410,e,n,f,s,b,n,f,s
1411,e,n,x,f,b,k,f,s
1412,e,n,f,s,b,p,f,s
1423,e,n,x,f,b,n,f,v
1424,e,g,f,f,b,n,f,s
1436,e,n,x,f,b,u,f,y
1441,e,n,x,f,b,n,f,y
1447,e,n,x,s,b,p,f,s
1448,e,g,f,f,b,p,f,s
1454,p,n,f,y,n,p,f,v
1455,e,g,x,s,b,n,f,a
1458,e,n,x,f,b,n,f,y
1466,e,g,x,y,b,p,f,v
1472,e,g,f,s,b,p,f,a
1476,e,n,f,f,b,k,f,s
1477,e,n,f,s,b,p,f,a
1482,e,n,x,s,b,n,f,s
1488,e,w,f,s,b,k,f,s
1489,e,n,x,s,b,h,f,s
1523,e,w,x,s,b,k,f,a
1534,e,g,f,s,b,h,f,s
1537,e,g,x,s,b,p,f,a
1544,e,w,x,f,b,p,f,s
1548,e,g,f,f,b,k,f,s
1549,e,y,x,y,b,w,f,y
1551,e,n,f,f,b,k,f,a
1553,e,g,f,s,b,k,f,a
1554,e,w,f,f,b,n,f,a
1555,e,n,f,f,b,h,f,a
1557,e,n,x,s,b,h,f,a
1570,e,n,f,s,b,n,f,a
1571,e,n,f,f,b,k,f,a
1572,e,w,x,f,b,k,f,a
1576,e,w,f,s,b,k,f,a
1580,p,n,f,y,n,n,f,s
1584,p,n,f,s,n,w,f,v
1586,p,w,x,s,n,w,f,v
1587,e,n,x,f,b,p,f,v
1588,e,n,x,f,b,p,f,s
1593,e,g,f,f,b,p,f,s
1600,e,n,x,y,b,w,f,s
1601,e,g,x,y,b,n,f,y
1609,e,n,x,f,b,p,f,y
1610,e,n,x,s,b,k,f,s
1626,p,w,f,y,n,k,f,v
1631,p,w,f,s,n,n,f,s
1632,e,w,f,f,b,h,f,a
1642,e,n,x,f,b,w,f,v
1643,e,n,x,f,b,n,f,v
1646,e,w,x,f,b,k,f,a
1650,e,n,x,f,b,n,f,s
1653,e,n,x,s,b,h,f,s
1656,e,w,f,s,b,p,f,s
1665,e,w,x,s,b,p,f,a
1669,e,g,x,y,b,n,f,v
1682,e,g,x,s,b,p,f,s
1688,e,g,f,f,b,h,f,s
1689,e,n,x,y,b,p,f,y
1692,e,g,x,f,b,w,f,y
1695,e,w,f,s,b,n,f,a
1699,e,g,x,f,b,k,f,a
1702,e,w,f,s,b,k,f,s
1703,e,n,f,f,b,n,f,s
1707,e,w,f,f,b,n,f,s
1709,e,g,f,f,b,k,f,s
1710,e,g,x,f,b,n,f,v
1712,e,g,x,f,b,h,f,s
1713,e,n,x,f,b,w,f,v
1715,e,w,f,f,b,p,f,a
1719,e,g,f,s,b,p,f,s
1721,e,n,f,s,b,n,f,s
1730,e,g,x,s,b,n,f,a
1734,e,w,x,f,b,p,f,s
1741,e,w,x,f,b,h,f,a
1748,e,n,f,f,n,p,f,y
1751,e,g,x,f,b,k,f,s
1754,e,w,x,f,b,h,f,a
1763,e,g,f,f,b,h,f,s
1767,e,g,f,s,b,n,f,a
1771,e,g,x,s,b,k,f,a
1776,e,w,x,f,b,p,f,a
1779,p,w,f,s,n,k,f,v
1783,e,w,x,s,b,k,f,a
1785,e,y,b,s,b,k,f,s
1795,e,n,x,f,b,p,f,a
1798,e,w,f,s,b,p,f,a
1799,p,w,f,y,n,k,f,v
1801,e,n,f,y,b,w,f,v
1802,e,g,x,f,b,h,f,a
1803,e,g,x,f,b,u,f,v
1807,e,g,f,s,b,h,f,s
1818,e,n,f,s,b,k,f,a
1819,e,w,f,s,b,p,f,s
1837,e,n,x,y,b,w,f,y
1841,e,g,x,f,b,h,f,a
1843,e,g,x,y,b,p,f,v
1845,e,e,x,y,b,p,f,v
1866,e,e,x,y,b,w,f,y
1869,e,n,x,s,b,n,f,a
1871,e,n,x,s,b,n,f,s
1876,e,e,x,f,b,p,f,y
1893,e,n,x,s,b,h,f,a
1896,e,n,x,y,b,w,f,v
1900,e,g,x,s,b,p,f,s
1909,e,g,f,s,b,h,f,a
1913,e,e,x,y,b,n,f,v
1914,e,g,x,f,b,h,f,s
1918,e,n,f,s,b,h,f,a
1921,e,e,x,f,b,u,f,y
1924,e,g,x,f,b,h,f,s
1925,e,e,x,y,b,w,f,v
1930,e,g,f,s,b,p,f,s
1935,e,n,x,f,b,k,f,s
1936,e,n,x,s,b,k,f,s
1938,e,w,x,f,b,h,f,a
1940,e,g,x,s,b,k,f,s
1941,e,e,x,y,b,p,f,v
1946,p,w,f,s,n,k,f,v
1956,p,w,x,s,n,p,f,v
1959,e,g,x,f,b,p,f,y
1965,e,w,f,s,b,h,f,a
1968,e,n,f,s,b,k,f,s
1971,e,n,x,f,b,k,f,a
1978,e,g,x,f,b,u,f,y
1979,e,n,f,f,b,p,f,a
1986,e,g,x,f,b,n,f,y
1987,e,g,x,s,b,n,f,a
1997,e,n,f,s,b,p,f,s
1998,e,n,f,f,b,p,f,a
2000,e,n,x,s,b,k,f,s
2013,e,e,x,f,b,u,f,v
2014,e,n,f,f,b,k,f,a
2019,e,w,f,f,n,n,f,v
2020,e,n,f,f,b,p,f,a
2022,e,g,x,y,b,n,f,y
2053,e,n,x,s,b,p,f,s
2056,e,w,f,f,b,k,f,s
2063,e,g,f,f,b,p,f,s
2075,p,w,x,s,n,p,f,v
2076,e,y,x,s,b,k,f,n
2081,e,g,x,f,b,k,f,s
2083,e,n,x,f,b,n,f,v
2087,e,n,f,f,b,h,f,s
2092,e,w,x,s,b,k,f,a
2098,e,g,x,f,b,p,f,s
2118,e,g,x,y,b,n,f,v
2119,e,g,x,f,b,n,f,v
2122,e,e,f,y,b,n,f,y
2123,e,n,f,f,b,p,f,v
2124,e,n,x,f,b,u,f,v
2126,e,e,x,y,b,u,f,v
2130,p,w,f,s,n,p,f,s
2132,e,w,x,f,b,h,f,s
2133,e,n,x,y,b,u,f,v
2140,e,g,x,f,b,w,f,y
2141,e,e,x,f,b,w,f,v
2157,e,n,x,y,b,n,f,y
2159,e,n,f,f,b,w,f,y
2164,e,n,x,y,b,u,f,y
2165,e,n,f,f,b,u,f,y
2166,e,e,x,f,b,n,f,y
2167,e,e,x,y,b,w,f,y
2168,e,g,x,f,b,p,f,y
2171,e,g,x,y,b,p,f,v
2172,e,g,x,f,b,n,f,v
2174,e,g,x,y,b,n,f,v
2184,e,e,x,y,b,w,f,v
2188,e,e,x,f,b,n,f,y
2201,e,w,x,s,b,p,f,a
2210,e,g,x,y,b,w,f,v
2221,e,e,x,f,b,w,f,v
2222,e,g,f,f,b,p,f,v
2225,e,n,f,f,b,w,f,y
2226,e,e,x,f,b,p,f,v
2227,e,e,x,f,b,n,f,y
2229,e,g,x,y,b,p,f,y
2234,e,e,f,y,b,p,f,v
2240,e,e,x,f,b,p,f,y
2242,p,w,f,s,n,w,f,v
2267,e,w,f,s,b,h,f,a
2275,e,g,f,f,b,n,f,v
2278,e,n,x,f,b,w,f,y
2280,e,g,f,f,b,w,f,v
2282,e,n,x,y,b,u,f,y
2285,e,n,x,y,b,p,f,y
2289,p,n,f,s,n,p,f,s
2302,e,n,x,y,b,u,f,v
2318,e,n,f,y,b,w,f,y
2327,e,n,f,f,b,w,f,y
2328,e,g,f,y,b,u,f,v
2347,e,w,x,f,b,h,f,s
2358,e,n,x,y,b,p,f,y
2361,e,n,x,y,b,n,f,y
2372,e,e,x,f,b,p,f,y
2377,e,g,x,f,b,w,f,v
2381,e,n,f,f,b,n,f,y
2383,e,g,x,y,b,n,f,v
2384,e,n,f,f,b,u,f,y
2386,p,g,x,f,b,h,f,y
2396,e,n,f,f,b,u,f,y
2400,e,e,x,f,b,n,f,y
2405,e,g,f,y,b,p,f,v
2407,e,e,x,y,b,w,f,y
2410,e,g,f,f,b,n,f,y
2411,e,g,x,f,b,p,f,v
2424,e,g,f,f,b,n,f,y
2437,e,g,f,f,b,p,f,y
2441,e,g,x,y,b,u,f,y
2447,e,n,x,f,b,w,f,v
2467,e,n,f,f,b,p,f,v
2471,e,g,f,f,b,p,f,v
2474,e,g,x,y,b,w,f,v
2485,e,e,x,f,b,p,f,v
2494,e,g,x,y,b,w,f,v
2497,e,n,f,f,b,u,f,y
2501,e,w,f,s,b,h,f,s
2503,e,n,x,f,b,w,f,v
2509,e,g,x,f,b,w,f,v
2513,p,w,x,s,n,p,f,s
2515,e,g,f,f,b,p,f,y
2516,e,n,f,f,b,u,f,v
2521,e,e,x,f,b,p,f,v
2534,p,g,x,f,b,g,f,y
2538,e,e,x,y,b,n,f,v
2546,e,g,x,y,b,n,f,v
2548,e,g,x,f,b,w,f,y
2563,e,e,x,y,b,w,f,v
2568,e,e,x,y,b,n,f,y
2569,e,g,f,f,b,p,f,v
2575,e,n,x,y,b,p,f,v
2582,e,g,x,y,b,p,f,v
2585,e,n,f,f,b,w,f,v
2599,e,g,x,f,b,n,f,y
2606,p,g,x,f,b,g,f,v
2607,e,e,x,f,b,p,f,v
2608,e,n,f,f,b,n,f,v
2622,e,e,x,y,b,n,f,v
2623,e,n,x,f,b,n,f,y
2625,e,e,x,y,b,p,f,v
2630,e,n,x,f,b,w,f,y
2631,e,n,f,s,b,p,f,a
2633,e,g,x,y,b,n,f,y
2634,e,g,f,y,b,w,f,v
2643,e,e,x,y,b,w,f,v
2646,e,g,x,f,b,u,f,y
2654,e,n,f,y,b,w,f,y
2660,e,e,x,f,b,w,f,y
2662,e,e,x,f,b,p,f,v
2664,e,g,x,f,b,n,f,v
2679,e,e,x,y,b,u,f,y
2682,e,n,x,y,b,n,f,y
2687,e,e,x,y,b,w,f,y
2697,e,n,f,f,b,p,f,y
2704,e,n,f,f,b,w,f,y
2707,e,e,x,f,b,u,f,y
2739,e,e,x,f,b,w,f,y
2743,e,e,x,f,b,u,f,y
2754,e,g,x,y,b,w,f,v
2758,e,n,x,y,b,n,f,v
2762,e,g,x,f,b,u,f,y
2767,p,g,x,f,b,g,f,v
2777,e,n,x,y,b,p,f,v
2782,e,e,x,y,b,p,f,v
2785,e,g,f,f,b,p,f,v
2786,e,n,f,f,b,n,f,y
2787,e,n,x,f,b,w,f,y
2794,e,n,f,f,b,w,f,y
2796,e,e,x,f,b,n,f,v
2797,e,g,x,f,b,w,f,v
2798,p,w,x,f,n,g,f,s
2799,e,e,x,y,b,p,f,y
2802,e,w,f,f,b,h,f,s
2810,e,e,x,f,b,n,f,v
2817,e,n,x,f,b,w,f,y
2820,e,g,x,y,b,n,f,y
2827,e,e,x,f,b,u,f,v
2834,e,n,f,f,b,n,f,y
2846,e,g,x,y,b,p,f,y
2849,e,g,f,f,b,n,f,y
2851,e,n,x,y,b,w,f,y
2853,e,n,x,f,b,u,f,v
2856,e,g,x,y,b,w,f,v
2859,e,g,f,f,b,p,f,y
2863,e,e,x,y,b,w,f,v
2864,e,g,x,y,b,u,f,y
2865,e,g,x,y,b,n,f,v
2871,e,n,x,y,b,p,f,v
2875,e,e,x,f,b,p,f,y
2876,e,g,x,y,b,w,f,y
2887,e,n,f,f,b,n,f,v
2888,p,g,x,s,n,n,f,v
2902,e,n,f,y,b,p,f,y
2904,p,g,x,f,b,h,f,y
2907,e,g,x,f,b,n,f,y
2908,e,e,x,f,b,p,f,y
2909,e,g,x,f,b,p,f,y
2910,e,g,x,f,b,p,f,y
2913,e,g,x,f,b,p,f,v
2921,e,n,x,y,b,w,f,y
2931,e,g,x,f,b,w,f,v
2942,e,n,x,f,b,u,f,v
2952,e,n,x,y,b,p,f,v
2956,e,n,f,f,b,n,f,v
2958,e,n,x,f,b,n,f,y
2964,e,n,f,f,b,u,f,y
2965,e,n,x,y,b,u,f,y
2969,e,e,x,y,b,p,f,y
2994,e,n,f,f,b,n,f,y
2995,e,e,x,f,b,u,f,v
2999,e,e,x,y,b,w,f,v
3002,p,y,x,y,b,h,f,v
3010,p,g,x,f,b,h,f,y
3016,e,n,f,y,b,u,f,v
3019,e,e,f,y,b,p,f,v
3026,e,e,f,y,b,p,f,v
3027,p,p,x,f,n,u,f,s
3028,p,g,x,f,b,g,f,y
3030,e,g,f,y,b,w,f,v
3037,e,e,f,y,b,p,f,v
3038,p,g,x,f,n,p,f,s
3039,e,e,f,f,b,p,f,y
3041,p,y,x,y,b,p,f,v
3048,p,p,x,s,n,n,f,v
3050,e,e,x,y,b,u,f,v
3051,e,e,f,f,b,p,f,y
3057,e,n,f,y,b,p,f,v
3059,p,p,x,f,n,n,f,s
3061,p,g,x,f,b,p,f,y
3066,e,g,f,y,b,u,f,v
3072,e,n,x,y,b,w,f,y
3075,e,n,f,y,b,p,f,y
3083,p,g,x,f,b,g,f,v
3087,e,e,f,y,b,u,f,y
3089,e,e,f,y,b,w,f,y
3094,p,g,x,f,b,p,f,v
3098,p,p,x,s,n,p,f,s
3105,p,g,x,s,n,g,f,s
3107,e,e,f,f,b,w,f,y
3120,p,w,x,f,n,n,f,v
3122,e,g,f,y,b,w,f,y
3123,p,g,x,f,b,p,f,y
3128,e,g,f,y,b,p,f,v
3129,e,e,f,f,b,w,f,v
3136,e,e,f,y,b,p,f,y
3141,e,n,f,y,b,p,f,v
3142,p,g,x,f,b,p,f,y
3145,e,g,f,y,b,p,f,y
3147,e,g,f,y,b,n,f,v
3148,p,w,x,s,n,g,f,s
3150,e,n,f,f,b,n,f,v
3152,e,e,f,y,b,n,f,y
3159,e,e,f,y,b,u,f,v
3162,p,g,x,f,b,p,f,v
3168,e,e,f,y,b,w,f,v
3169,p,g,x,y,b,p,f,v
3179,e,g,f,y,b,n,f,v
3182,p,p,x,f,n,u,f,v
3183,p,w,x,f,n,n,f,s
3195,e,e,f,y,b,u,f,y
3198,e,e,f,f,b,w,f,v
3202,p,g,f,f,b,h,f,y
3217,e,g,f,y,b,w,f,v
3221,e,n,f,y,b,w,f,y
3223,e,g,f,y,b,n,f,y
3224,e,n,f,y,b,w,f,y
3225,e,g,x,f,b,n,f,v
3231,e,g,f,y,b,n,f,v
3235,e,g,x,y,b,n,f,y
3237,e,e,f,y,b,p,f,y
3239,e,g,x,f,b,w,f,v
3240,p,g,x,f,b,h,f,v
3241,e,g,f,y,b,p,f,y
3243,p,w,x,s,n,p,f,s
3245,e,e,f,f,b,n,f,y
3249,p,g,x,f,b,g,f,y
3254,p,g,x,s,n,n,f,s
3256,e,e,f,y,b,n,f,v
3271,p,p,x,f,n,p,f,s
3283,p,p,x,s,n,p,f,v
3286,e,n,f,y,b,w,f,y
3287,e,n,x,y,b,u,f,v
3290,e,e,f,f,b,p,f,y
3293,p,p,x,f,n,n,f,s
3308,e,n,f,y,b,n,f,y
3318,e,g,f,y,b,p,f,v
3324,p,g,x,f,b,p,f,v
3325,e,g,f,y,b,n,f,v
3328,p,p,x,f,n,g,f,v
3330,e,g,x,f,b,p,f,v
3334,e,n,f,y,b,n,f,y
3338,p,w,x,f,n,g,f,v
3358,p,w,x,f,n,p,f,v
3359,p,g,x,f,b,p,f,v
3368,e,e,f,y,b,w,f,v
3371,e,n,f,y,b,w,f,v
3376,e,g,f,f,b,u,f,v
3379,e,e,f,y,b,w,f,v
3380,p,y,f,f,b,g,f,v
3385,e,e,f,f,b,u,f,v
3392,e,g,f,y,b,w,f,y
3394,p,g,x,f,n,n,f,s
3399,e,n,x,y,b,n,f,v
3401,p,g,x,s,n,n,f,s
3405,e,e,f,y,b,u,f,y
3408,e,g,x,y,b,w,f,y
3412,p,g,x,s,n,n,f,s
3419,p,g,x,s,n,p,f,s
3431,e,g,f,y,b,p,f,v
3435,e,e,f,f,b,p,f,v
3440,p,g,x,f,b,h,f,v
3446,e,g,f,y,b,n,f,v
3449,e,n,x,f,b,u,f,v
3461,e,g,f,f,b,u,f,y
3462,e,e,x,y,b,p,f,y
3464,p,w,x,f,n,n,f,s
3465,e,e,f,f,b,p,f,y
3468,e,n,f,y,b,n,f,v
3469,p,g,x,f,n,p,f,v
3470,p,p,x,s,n,n,f,v
3484,p,w,x,s,n,u,f,v
3485,p,w,x,f,n,p,f,s
3496,e,n,f,y,b,w,f,v
3497,p,g,x,f,b,h,f,y
3498,e,e,f,f,b,u,f,y
3507,p,g,x,f,b,p,f,v
3519,e,e,x,f,b,n,f,v
3527,e,n,f,f,b,p,f,y
3535,e,n,f,y,b,p,f,v
3536,e,n,f,y,b,p,f,v
3537,p,g,x,s,n,n,f,s
3543,e,e,f,f,b,n,f,v
3545,p,g,x,f,b,h,f,v
3557,p,y,x,y,b,p,f,y
3558,p,g,x,s,n,p,f,v
3560,p,g,f,f,b,p,f,v
3564,e,g,f,y,b,w,f,v
3566,p,y,x,f,b,p,f,v
3568,p,g,x,f,b,p,f,v
3570,e,e,f,f,b,w,f,y
3572,e,e,f,f,b,p,f,v
3577,e,e,f,y,b,n,f,v
3580,e,g,f,f,b,w,f,v
3584,p,g,x,f,n,n,f,v
3595,p,g,f,f,b,g,f,y
3602,e,n,x,y,b,w,f,y
3616,e,g,f,y,b,n,f,y
3617,p,p,x,f,n,u,f,s
3618,e,e,f,f,b,w,f,y
3627,e,g,f,f,b,w,f,y
3628,p,p,x,f,n,g,f,s
3639,e,g,f,f,b,w,f,y
3660,e,n,f,y,b,u,f,v
3661,e,e,x,y,b,u,f,y
3674,e,g,f,f,b,w,f,y
3675,e,g,f,f,b,u,f,v
3676,p,g,x,f,b,h,f,v
3677,e,n,f,y,b,p,f,y
3681,e,e,f,y,b,n,f,y
3683,e,e,f,y,b,n,f,y
3684,p,w,x,s,n,u,f,s
3685,p,g,x,f,b,h,f,v
3695,p,g,x,f,b,g,f,v
3698,p,p,x,s,n,u,f,v
3704,p,p,x,f,n,p,f,s
3705,p,g,x,f,b,p,f,v
3714,p,y,f,y,b,h,f,y
3715,e,e,f,y,b,n,f,y
3734,e,e,f,y,b,n,f,v
